Part_Desc_,Rework,Work_Order_Qty,Case ID,label,Activity,Resource,Report_Type,Resource.1,Qty_Completed,Qty_for_MRB,activity_duration,Complete Timestamp,timesincemidnight,month,weekday,hour,timesincelastevent,timesincecasestart,event_nr,open_cases
Cable Head,missing,40,Case138,deviant,Turning & Milling - Machine 4,ID4932,S,Machine 4 - Turning & Milling,1,0,302,2012-03-27 00:44:00,44,3,1,0,403,403,2,13
Cable Head,missing,40,Case138,deviant,Turning & Milling - Machine 4,ID4932,D,Machine 4 - Turning & Milling,16,0,349,2012-03-27 06:34:00,394,3,1,6,350,753,3,13
Cable Head,missing,40,Case138,deviant,Turning & Milling - Machine 4,ID4167,D,Machine 4 - Turning & Milling,18,0,478,2012-03-27 16:04:00,964,3,1,16,570,1323,4,12
Cable Head,missing,40,Case138,deviant,Turning & Milling - Machine 5,ID4429,D,Machine 5 - Turning & Milling,5,0,123,2012-03-27 18:09:00,1089,3,1,18,125,1448,5,10
Cable Head,missing,247,Case139,regular,Round Grinding - Q.C.,ID4493,D,Quality Check 1,245,0,62,2012-03-15 07:45:00,465,3,3,7,0,0,1,22
Cable Head,missing,5,Case140,deviant,Turning & Milling - Machine 5,ID4429,S,Machine 5 - Turning & Milling,2,0,645,2012-03-19 17:59:00,1079,3,0,17,0,0,1,21
Cable Head,missing,5,Case140,deviant,Turning & Milling - Machine 5,ID4167,D,Machine 5 - Turning & Milling,3,0,75,2012-03-19 21:35:00,1295,3,0,21,216,216,2,20
Piston,missing,37,Case141,regular,Turning & Milling - Machine 4,ID4429,S,Machine 4 - Turning & Milling,0,0,75,2012-03-26 01:15:00,75,3,0,1,0,0,1,16
Ballnut,missing,18,Case142,regular,Turning & Milling Q.C.,ID4287,D,Quality Check 1,0,0,126,2012-03-22 16:06:00,966,3,3,16,0,0,1,16
Ballnut,missing,18,Case142,regular,Turning & Milling Q.C.,ID4287,D,Quality Check 1,18,0,70,2012-03-26 11:10:00,670,3,0,11,5464,5464,2,13
Cable Head,missing,1,Case144,regular,Packing,ID4491,D,Packing,1,0,60,2012-03-30 01:00:00,60,3,4,1,0,0,1,7
Cable Head,missing,1,Case144,regular,Final Inspection Q.C.,ID4493,D,Quality Check 1,1,0,61,2012-03-30 09:57:00,597,3,4,9,537,537,2,4
Ring,missing,35,Case145,regular,Turning - Machine 8,ID4219,S,Machine 8 - Turning & Milling,2,0,218,2012-02-17 00:42:00,42,2,4,0,0,0,1,31
Ring,missing,35,Case145,regular,Turning - Machine 8,ID0997,D,Machine 8 - Turning & Milling,27,0,332,2012-02-17 12:41:00,761,2,4,12,719,719,2,27
Ring,missing,35,Case145,regular,Turning - Machine 8,ID4219,D,Machine 8 - Turning & Milling,0,0,27,2012-02-19 07:17:00,437,2,6,7,2556,3275,3,28
Ring,missing,35,Case145,regular,Turning - Machine 8,ID4219,D,Machine 8 - Turning & Milling,6,0,38,2012-02-19 10:17:00,617,2,6,10,180,3455,4,27
Ring,missing,35,Case145,regular,Turning Q.C.,ID4618,D,Quality Check 1,35,0,1,2012-02-19 15:55:00,955,2,6,15,338,3793,5,28
Ring,missing,35,Case145,regular,Flat Grinding - Machine 11,ID0998,D,Machine 11 - Grinding,35,0,378,2012-02-20 17:39:00,1059,2,0,17,1544,5337,6,27
Ring,missing,35,Case145,regular,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,35,0,45,2012-03-01 14:43:00,883,3,3,14,14224,19561,7,17
Ring,missing,35,Case145,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,0,0,20,2012-03-04 09:45:00,585,3,6,9,4022,23583,8,16
Ring,missing,35,Case145,regular,Wire Cut - Machine 13,ID3767,B,Wire Cut - Machine 13,0,0,60,2012-03-07 13:00:00,780,3,2,13,4515,28098,9,20
Ring,missing,35,Case145,regular,other,ID3767,D,other,6,0,120,2012-03-07 15:00:00,900,3,2,15,120,28218,10,20
Ring,missing,35,Case145,regular,other,other,D,other,29,0,510,2012-03-08 04:30:00,270,3,3,4,810,29028,11,20
Ring,missing,35,Case145,regular,Turning Q.C.,ID4618,D,Quality Check 1,0,0,207,2012-03-08 15:54:00,954,3,3,15,684,29712,12,19
Ring,missing,35,Case145,regular,Laser Marking - Machine 7,ID0998,D,Machine 7- Laser Marking,35,0,33,2012-03-09 12:54:00,774,3,4,12,1260,30972,13,19
Ring,missing,35,Case145,regular,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,35,0,75,2012-03-09 13:35:00,815,3,4,13,41,31013,14,19
Ring,missing,35,Case145,regular,Packing,ID4820,D,Packing,35,0,60,2012-03-11 01:00:00,60,3,6,1,2125,33138,15,19
Ring,missing,35,Case145,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,35,0,8,2012-03-11 08:08:00,488,3,6,8,428,33566,16,17
Ballnut,missing,21,Case146,regular,Packing,ID4820,D,Packing,21,0,60,2012-02-19 01:00:00,60,2,6,1,0,0,1,28
Ballnut,missing,21,Case146,regular,Final Inspection Q.C.,ID4287,D,Quality Check 1,21,0,100,2012-02-19 08:40:00,520,2,6,8,460,460,2,27
Piston,missing,60,Case147,regular,Turning - Machine 8,ID4219,S,Machine 8 - Turning & Milling,1,0,276,2012-03-11 23:12:00,1392,3,6,23,0,0,1,17
Piston,missing,60,Case147,regular,Turning - Machine 8,ID0997,S,Machine 8 - Turning & Milling,0,0,240,2012-03-12 11:00:00,660,3,0,11,708,708,2,18
Piston,missing,60,Case147,regular,Turning - Machine 8,ID0997,D,Machine 8 - Turning & Milling,28,0,294,2012-03-12 15:54:00,954,3,0,15,294,1002,3,18
Piston,missing,60,Case147,regular,Packing,ID4820,D,Packing,59,0,60,2012-03-13 01:00:00,60,3,1,1,546,1548,4,19
Piston,missing,60,Case147,regular,Turning - Machine 8,ID4219,D,Machine 8 - Turning & Milling,31,0,399,2012-03-13 02:04:00,124,3,1,2,64,1612,5,20
Piston,missing,60,Case147,regular,Turning Q.C.,ID4287,D,Quality Check 1,59,0,60,2012-03-13 08:00:00,480,3,1,8,356,1968,6,19
Piston,missing,60,Case147,regular,other,other,D,other,59,0,217,2012-03-13 14:00:00,840,3,1,14,360,2328,7,19
Piston,missing,60,Case147,regular,Final Inspection Q.C.,ID4287,D,Quality Check 1,59,0,43,2012-03-13 14:03:00,843,3,1,14,3,2331,8,18
Piston,missing,78,Case148,regular,other,other,D,other,0,0,90,2012-01-11 11:30:00,690,1,2,11,0,0,1,32
Piston,missing,78,Case148,regular,other,ID3767,D,other,1,0,420,2012-01-17 15:00:00,900,1,1,15,8850,8850,2,32
Piston,missing,78,Case148,regular,Packing,other,D,Packing,1,0,60,2012-02-26 01:00:00,60,2,6,1,56760,65610,3,25
Piston,missing,78,Case148,regular,Final Inspection Q.C.,ID4287,D,Quality Check 1,1,0,75,2012-02-26 01:15:00,75,2,6,1,0,65625,4,25
Piston,missing,78,Case148,regular,other,ID4287,D,Quality Check 1,1,0,75,2012-02-26 01:15:00,75,2,6,1,15,65625,5,25
Piston,missing,78,Case148,regular,Final Inspection Q.C.,ID4287,D,Quality Check 1,0,0,21,2012-02-26 14:00:00,840,2,6,14,765,66390,6,24
Piston,missing,78,Case148,regular,Milling - Machine 14,ID4287,D,Machine 14 - Milling,1,0,75,2012-02-26 14:53:00,893,2,6,14,53,66443,7,22
Housing,missing,46,Case153,regular,Round Grinding - Manual,ID4528,S,Machine 27 - Grinding,0,0,50,2012-01-02 19:50:00,1190,1,0,19,0,0,1,11
Housing,missing,46,Case153,regular,Round Grinding - Manual,ID4528,D,Machine 27 - Grinding,4,0,55,2012-01-02 20:45:00,1245,1,0,20,55,55,2,11
Housing,missing,46,Case153,regular,Final Inspection Q.C.,ID4287,D,Quality Check 1,0,0,37,2012-01-04 17:47:00,1067,1,2,17,2702,2757,3,21
Housing,missing,46,Case153,regular,Final Inspection Q.C.,ID4287,D,Quality Check 1,4,0,35,2012-01-05 08:40:00,520,1,3,8,893,3650,4,20
Housing,missing,46,Case153,regular,Packing,ID4820,D,Packing,4,0,60,2012-01-06 01:00:00,60,1,4,1,980,4630,5,20
Ballnut,missing,48,Case155,regular,Turning - Machine 8,ID0997,S,Machine 15 - Turning,0,0,285,2012-01-06 11:56:00,716,1,4,11,0,0,1,21
Ballnut,missing,48,Case155,regular,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,0,0,42,2012-01-06 12:38:00,758,1,4,12,42,42,2,21
Ballnut,missing,48,Case155,regular,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,13,0,75,2012-01-06 13:53:00,833,1,4,13,75,117,3,21
Ballnut,missing,48,Case155,regular,Turning & Milling Q.C.,ID4618,D,Quality Check 1,0,0,23,2012-01-08 11:59:00,719,1,6,11,2766,2883,4,22
Ballnut,missing,48,Case155,regular,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,35,0,391,2012-01-08 15:39:00,939,1,6,15,220,3103,5,23
Ballnut,missing,48,Case155,regular,Turning & Milling Q.C.,ID4618,D,Quality Check 1,48,0,75,2012-01-08 17:00:00,1020,1,6,17,81,3184,6,25
Ballnut,missing,48,Case155,regular,Laser Marking - Machine 7,ID4882,D,Machine 7- Laser Marking,22,0,21,2012-01-10 08:12:00,492,1,1,8,2352,5536,7,29
Ballnut,missing,48,Case155,regular,Laser Marking - Machine 7,ID0998,D,Machine 7- Laser Marking,26,0,45,2012-01-10 09:10:00,550,1,1,9,58,5594,8,29
Ballnut,missing,48,Case155,regular,Lapping - Machine 1,ID4882,D,Machine 1 - Lapping,48,0,78,2012-01-10 10:33:00,633,1,1,10,83,5677,9,28
Ballnut,missing,48,Case155,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,0,0,98,2012-01-10 15:14:00,914,1,1,15,281,5958,10,29
Ballnut,missing,48,Case155,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,48,0,75,2012-01-11 13:19:00,799,1,2,13,1325,7283,11,31
Ballnut,missing,48,Case155,regular,Packing,ID4820,D,Packing,48,0,60,2012-01-13 01:00:00,60,1,4,1,2141,9424,12,30
Drill,missing,600,Case156,deviant,Turning & Milling - Machine 9,ID4641,S,Machine 9 - Turning & Milling,0,0,230,2012-02-20 23:50:00,1430,2,0,23,0,0,1,29
Drill,missing,600,Case156,deviant,Turning & Milling - Machine 9,ID4641,D,Machine 9 - Turning & Milling,40,0,420,2012-02-21 06:50:00,410,2,1,6,420,420,2,25
Drill,missing,600,Case156,deviant,Turning & Milling - Machine 9,ID4641,S,Machine 9 - Turning & Milling,1,0,383,2012-02-22 03:56:00,236,2,2,3,1266,1686,3,26
Drill,missing,600,Case156,deviant,Turning & Milling - Machine 9,ID4641,D,Machine 9 - Turning & Milling,4,0,157,2012-02-22 06:34:00,394,2,2,6,158,1844,4,26
Drill,missing,600,Case156,deviant,Turning & Milling - Machine 9,ID4641,D,Machine 9 - Turning & Milling,0,0,569,2012-02-23 06:41:00,401,2,3,6,1447,3291,5,25
Drill,missing,600,Case156,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,0,0,78,2012-02-23 09:08:00,548,2,3,9,147,3438,6,25
Drill,missing,600,Case156,deviant,Final Inspection Q.C.,ID4618,D,Quality Check 1,0,0,15,2012-02-27 07:24:00,444,2,0,7,5656,9094,7,23
Drill,missing,600,Case156,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,45,0,1,2012-02-27 07:26:00,446,2,0,7,2,9096,8,23
Drill,missing,600,Case156,deviant,Laser Marking - Machine 7,ID4445,D,Machine 7- Laser Marking,45,0,19,2012-02-29 15:42:00,942,2,2,15,3376,12472,9,16
Drill,missing,600,Case156,deviant,Lapping - Machine 1,ID0420,D,Machine 1 - Lapping,45,0,78,2012-03-01 02:34:00,154,3,3,2,652,13124,10,16
Drill,missing,600,Case156,deviant,Final Inspection Q.C.,ID4618,D,Quality Check 1,0,0,76,2012-03-06 14:51:00,891,3,1,14,7937,21061,11,21
Drill,missing,600,Case156,deviant,Final Inspection Q.C.,ID4618,D,Quality Check 1,45,0,1,2012-03-06 16:25:00,985,3,1,16,94,21155,12,20
Clamp,missing,150,Case163,deviant,Packing,ID4491,D,Packing,60,0,60,2012-01-09 01:00:00,60,1,0,1,0,0,1,26
Clamp,missing,150,Case163,deviant,Final Inspection Q.C.,ID4287,D,Quality Check 1,60,0,106,2012-01-09 09:46:00,586,1,0,9,526,526,2,29
Clamp,missing,150,Case163,deviant,Turning Q.C.,ID4287,D,Quality Check 1,10,0,97,2012-01-09 11:38:00,698,1,0,11,112,638,3,30
Clamp,missing,150,Case163,deviant,Turning Q.C.,ID4287,D,Quality Check 1,6,0,120,2012-01-10 12:11:00,731,1,1,12,1473,2111,4,29
Clamp,missing,150,Case163,deviant,Turning - Machine 8,ID3846,B,Machine 15 - Turning,0,0,1,2012-01-22 07:15:00,435,1,6,7,16984,19095,5,33
Clamp,missing,150,Case163,deviant,Packing,ID4491,D,Packing,8,0,60,2012-01-24 01:00:00,60,1,1,1,2505,21600,6,34
Clamp,missing,100,Case17,deviant,Turning - Machine 8,ID4219,S,Machine 15 - Turning,0,0,234,2012-02-26 20:43:00,1243,2,6,20,0,0,1,24
Clamp,missing,100,Case17,deviant,Turning - Machine 8,ID4219,S,Machine 15 - Turning,0,0,56,2012-02-26 22:16:00,1336,2,6,22,93,93,2,23
Clamp,missing,100,Case17,deviant,Turning - Machine 8,ID4219,B,Machine 15 - Turning,0,0,51,2012-02-26 23:07:00,1387,2,6,23,51,144,3,23
Clamp,missing,100,Case17,deviant,Turning - Machine 8,ID4219,D,Machine 15 - Turning,0,0,82,2012-02-27 00:29:00,29,2,0,0,82,226,4,23
Clamp,missing,100,Case17,deviant,Turning - Machine 8,ID4219,D,Machine 15 - Turning,5,0,14,2012-02-27 00:42:00,42,2,0,0,13,239,5,23
Clamp,missing,100,Case17,deviant,Turning - Machine 8,other,D,Machine 15 - Turning,20,0,388,2012-02-27 06:58:00,418,2,0,6,376,615,6,23
Clamp,missing,100,Case17,deviant,Turning - Machine 8,other,D,Machine 15 - Turning,24,0,527,2012-02-27 15:45:00,945,2,0,15,527,1142,7,22
Clamp,Y,100,Case17,deviant,Turning - Machine 8,ID4219,D,Machine 15 - Turning,1,0,22,2012-02-27 16:36:00,996,2,0,16,51,1193,8,23
Clamp,Y,100,Case17,deviant,Turning - Machine 8,other,D,Machine 15 - Turning,25,0,651,2012-02-28 06:58:00,418,2,1,6,862,2055,9,23
Clamp,Y,100,Case17,deviant,Turning - Machine 8,other,D,Machine 15 - Turning,25,0,517,2012-02-28 15:42:00,942,2,1,15,524,2579,10,22
Clamp,Y,100,Case17,deviant,Turning - Machine 8,ID4219,S,Machine 15 - Turning,1,0,170,2012-02-28 19:22:00,1162,2,1,19,220,2799,11,22
Clamp,Y,100,Case17,deviant,Turning - Machine 8,other,D,Machine 15 - Turning,59,0,640,2012-02-29 06:40:00,400,2,2,6,678,3477,12,17
Clamp,Y,100,Case17,deviant,Turning Q.C.,ID4287,D,Quality Check 1,0,0,40,2012-02-29 08:40:00,520,2,2,8,120,3597,13,18
Clamp,Y,100,Case17,deviant,Turning Q.C.,ID4287,D,Quality Check 1,100,0,15,2012-02-29 13:35:00,815,2,2,13,295,3892,14,19
Clamp,Y,100,Case17,deviant,Laser Marking - Machine 7,ID4445,D,Machine 7- Laser Marking,100,0,83,2012-02-29 15:02:00,902,2,2,15,87,3979,15,18
Clamp,Y,100,Case17,deviant,Turning - Machine 8,other,D,Machine 15 - Turning,40,0,500,2012-02-29 15:40:00,940,2,2,15,38,4017,16,16
Ballnut,missing,55,Case174,deviant,Turning & Milling - Machine 6,ID4529,S,Machine 6 - Turning & Milling,0,0,272,2012-03-19 02:14:00,134,3,0,2,0,0,1,23
Ballnut,missing,55,Case174,deviant,Turning & Milling - Machine 6,ID4794,S,Machine 6 - Turning & Milling,1,0,292,2012-03-19 12:12:00,732,3,0,12,598,598,2,20
Ballnut,missing,55,Case174,deviant,Turning & Milling Q.C.,ID4287,S,Quality Check 1,0,0,67,2012-03-19 12:37:00,757,3,0,12,25,623,3,20
Ballnut,missing,55,Case174,deviant,Turning & Milling - Machine 6,ID4794,D,Machine 6 - Turning & Milling,7,0,229,2012-03-19 16:01:00,961,3,0,16,204,827,4,20
Ballnut,missing,55,Case174,deviant,Turning & Milling - Machine 6,ID4718,D,Machine 6 - Turning & Milling,4,0,69,2012-03-19 17:49:00,1069,3,0,17,108,935,5,20
Ballnut,missing,55,Case174,deviant,Turning & Milling - Machine 6,ID0997,D,Machine 6 - Turning & Milling,15,0,211,2012-03-19 23:28:00,1408,3,0,23,339,1274,6,19
Ballnut,missing,55,Case174,deviant,Turning & Milling - Machine 6,ID4529,D,Machine 6 - Turning & Milling,15,0,217,2012-03-20 06:40:00,400,3,1,6,432,1706,7,20
Ballnut,missing,55,Case174,deviant,Turning & Milling - Machine 6,ID4794,D,Machine 6 - Turning & Milling,13,0,364,2012-03-20 13:29:00,809,3,1,13,409,2115,8,17
Spinner,missing,53,Case175,deviant,Round Grinding - Q.C.,ID4287,D,Quality Check 1,0,0,30,2012-01-31 07:30:00,450,1,1,7,0,0,1,32
Cable Head,missing,151,Case177,deviant,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,7,0,125,2012-01-04 10:25:00,625,1,2,10,0,0,1,18
Cable Head,missing,151,Case177,deviant,Round Grinding - Machine 2,ID4385,S,Machine 2 - Round Grinding,0,0,107,2012-01-08 15:08:00,908,1,6,15,6043,6043,2,23
Cable Head,missing,151,Case177,deviant,Round Grinding - Machine 2,ID4385,D,Machine 2 - Round Grinding,2,0,48,2012-01-08 15:57:00,957,1,6,15,49,6092,3,24
Cable Head,missing,151,Case177,deviant,Round Grinding - Machine 2,ID4355,D,Machine 2 - Round Grinding,12,0,374,2012-01-08 22:13:00,1333,1,6,22,376,6468,4,25
Cable Head,missing,151,Case177,deviant,Final Inspection Q.C.,ID4163,D,Quality Check 1,0,0,100,2012-01-17 08:40:00,520,1,1,8,12147,18615,5,32
Cable Head,missing,151,Case177,deviant,Final Inspection Q.C.,ID4163,D,Quality Check 1,0,0,230,2012-01-17 12:50:00,770,1,1,12,250,18865,6,31
Cable Head,missing,250,Case178,regular,Round Grinding - Machine 3,ID4445,D,Machine 3 - Round Grinding,31,0,290,2012-01-02 04:50:00,290,1,0,4,0,0,1,1
Cable Head,missing,250,Case178,regular,Round Grinding - Machine 2,ID4355,S,Machine 2 - Round Grinding,0,0,60,2012-01-02 11:00:00,660,1,0,11,370,370,2,4
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,56,2012-01-11 23:47:00,1427,1,2,23,13727,14097,3,31
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,322,2012-01-15 13:30:00,810,1,6,13,5143,19240,4,29
Cable Head,missing,250,Case178,regular,Lapping - Machine 1,ID4882,D,Machine 1 - Lapping,0,0,299,2012-01-15 15:12:00,912,1,6,15,102,19342,5,29
Cable Head,missing,250,Case178,regular,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,0,0,427,2012-01-15 17:27:00,1047,1,6,17,135,19477,6,29
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,230,2012-01-16 10:47:00,647,1,0,10,1040,20517,7,30
Cable Head,missing,250,Case178,regular,other,ID4355,D,Machine 2 - Round Grinding,22,0,329,2012-01-16 15:43:00,943,1,0,15,296,20813,8,31
Cable Head,missing,250,Case178,regular,other,ID4385,D,Machine 2 - Round Grinding,0,0,427,2012-01-16 23:40:00,1420,1,0,23,477,21290,9,31
Cable Head,missing,250,Case178,regular,other,ID4528,D,other,0,0,405,2012-01-17 06:37:00,397,1,1,6,417,21707,10,32
Cable Head,missing,250,Case178,regular,other,ID4355,D,Machine 2 - Round Grinding,0,0,550,2012-01-17 16:03:00,963,1,1,16,566,22273,11,34
Cable Head,missing,250,Case178,regular,other,ID4355,D,Machine 2 - Round Grinding,20,0,241,2012-01-19 10:52:00,652,1,3,10,2569,24842,12,35
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,223,2012-01-20 12:54:00,774,1,4,12,1562,26404,13,35
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,9,2012-01-23 16:18:00,978,1,0,16,4524,30928,14,35
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,121,2012-01-24 18:07:00,1087,1,1,18,1549,32477,15,34
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,317,2012-01-25 21:27:00,1287,1,2,21,1640,34117,16,33
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,68,2012-01-29 09:29:00,569,1,6,9,5042,39159,17,32
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,18,2012-01-30 07:30:00,450,1,0,7,1321,40480,18,30
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4528,D,Machine 27 - Grinding,0,0,47,2012-02-09 10:49:00,649,2,3,10,14599,55079,19,36
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,299,2012-02-16 16:10:00,970,2,3,16,10401,65480,20,30
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4528,D,Machine 27 - Grinding,0,0,160,2012-03-07 18:00:00,1080,3,2,18,28910,94390,21,21
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,245,2012-03-07 23:35:00,1415,3,2,23,335,94725,22,21
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4528,D,Machine 27 - Grinding,0,0,528,2012-03-08 15:55:00,955,3,3,15,980,95705,23,19
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,408,2012-03-08 22:46:00,1366,3,3,22,411,96116,24,19
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4528,D,Machine 27 - Grinding,0,0,310,2012-03-09 12:20:00,740,3,4,12,814,96930,25,18
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,459,2012-03-11 15:41:00,941,3,6,15,3081,100011,26,16
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4528,D,Machine 27 - Grinding,0,0,197,2012-03-11 19:25:00,1165,3,6,19,224,100235,27,15
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,103,2012-03-12 09:04:00,544,3,0,9,819,101054,28,18
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,194,2012-03-12 15:53:00,953,3,0,15,409,101463,29,18
Cable Head,missing,250,Case178,regular,Turning & Milling Q.C.,ID4493,D,Quality Check 1,2,0,8,2012-03-12 16:45:00,1005,3,0,16,52,101515,30,18
Cable Head,missing,250,Case178,regular,Lapping - Machine 1,ID0937,D,Machine 1 - Lapping,122,0,75,2012-03-14 01:15:00,75,3,2,1,0,103465,31,19
Cable Head,missing,250,Case178,regular,Laser Marking - Machine 7,ID0937,D,Machine 7- Laser Marking,26,0,75,2012-03-14 01:15:00,75,3,2,1,0,103465,32,19
Cable Head,missing,250,Case178,regular,Round Grinding - Machine 3,ID0937,D,Machine 3 - Round Grinding,133,0,75,2012-03-14 01:15:00,75,3,2,1,0,103465,33,19
Cable Head,missing,250,Case178,regular,Round Grinding - Q.C.,ID0937,D,Quality Check 1,245,0,75,2012-03-14 01:15:00,75,3,2,1,1950,103465,34,19
Cable Head,missing,150,Case179,deviant,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,232,2012-01-11 22:51:00,1371,1,2,22,0,0,1,31
Cable Head,missing,150,Case179,deviant,Final Inspection Q.C.,ID4163,D,Quality Check 1,10,0,60,2012-01-13 10:00:00,600,1,4,10,2109,2109,2,29
Cable Head,missing,150,Case179,deviant,Packing,ID4820,D,Packing,10,0,60,2012-01-15 01:00:00,60,1,6,1,2340,4449,3,28
Cable Head,missing,150,Case179,deviant,other,ID4528,D,Machine 12 - Grinding,0,0,125,2012-02-20 12:50:00,770,2,0,12,52550,56999,4,28
Cable Head,missing,150,Case179,deviant,Final Inspection Q.C.,ID4163,D,Quality Check 1,0,0,120,2012-02-22 11:00:00,660,2,2,11,2770,59769,5,26
Cable Head,missing,150,Case179,deviant,Packing,ID4820,D,Packing,2,0,60,2012-02-23 01:00:00,60,2,3,1,840,60609,6,26
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 5,ID4932,S,Machine 5 - Turning & Milling,2,0,100,2012-01-18 05:31:00,331,1,2,5,0,0,1,36
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 5,ID4932,D,Machine 5 - Turning & Milling,8,0,67,2012-01-18 06:39:00,399,1,2,6,68,68,2,36
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 5,ID4429,B,Machine 5 - Turning & Milling,0,0,103,2012-01-18 08:44:00,524,1,2,8,125,193,3,36
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 5,ID4932,S,Machine 5 - Turning & Milling,0,0,16,2012-01-18 20:12:00,1212,1,2,20,688,881,4,37
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 4,ID4932,S,Machine 4 - Turning & Milling,0,0,182,2012-01-19 05:33:00,333,1,3,5,561,1442,5,36
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 5,ID4932,D,Machine 5 - Turning & Milling,80,0,634,2012-01-19 06:46:00,406,1,3,6,73,1515,6,36
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 5,ID4429,D,Machine 5 - Turning & Milling,8,0,65,2012-01-19 08:27:00,507,1,3,8,101,1616,7,36
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 4,ID4167,S,Machine 4 - Turning & Milling,2,0,571,2012-01-19 17:29:00,1049,1,3,17,542,2158,8,35
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 5,ID4429,D,Machine 5 - Turning & Milling,16,0,135,2012-01-19 17:57:00,1077,1,3,17,28,2186,9,35
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 4,ID4932,D,Machine 4 - Turning & Milling,52,0,1,2012-01-19 19:59:00,1199,1,3,19,122,2308,10,35
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 5,ID4932,D,Machine 5 - Turning & Milling,0,0,656,2012-01-20 06:54:00,414,1,4,6,0,2963,11,35
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 5,ID4932,D,Machine 5 - Turning & Milling,82,0,655,2012-01-20 06:54:00,414,1,4,6,655,2963,12,35
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 4,ID4167,D,Machine 4 - Turning & Milling,20,0,330,2012-01-20 14:52:00,892,1,4,14,478,3441,13,35
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 4,ID4529,D,Machine 4 - Turning & Milling,30,0,481,2012-01-21 20:55:00,1255,1,5,20,1803,5244,14,35
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 5,ID4529,D,Machine 5 - Turning & Milling,50,0,661,2012-01-21 23:54:00,1434,1,5,23,179,5423,15,35
Cable Head,missing,557,Case18,deviant,Turning & Milling - Machine 4,ID4932,D,Machine 4 - Turning & Milling,0,0,75,2012-01-22 01:15:00,75,1,6,1,81,5504,16,33
